Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
12041966,Robert Oppenheimer: A Life Inside the Center,Ray Monk,"Monk, Ray",,"=""0385504071""","=""9780385504072""",0,4.09,Doubleday,Hardcover,848,2013,2012,,2017/05/09,currently-reading,currently-reading (#2),currently-reading,,,,0,,,0,,,,,
13554058,The Wandering Earth,Liu Cixin,"Cixin, Liu","Kim Fout, C.W. Verbena, Holger Nahm","=""""","=""""",0,3.99,"Beijing Guomi Digital Technology Co., Ltd.",Kindle Edition,45,2012,2005,,2017/04/27,wishlist,wishlist (#15),wishlist,,,,0,,,0,,,,,
18693884,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,"Ellenberg, Jordan",,"=""1594205221""","=""9781594205224""",0,3.92,Penguin Press,Hardcover,480,2014,2014,,2017/04/26,wishlist,wishlist (#14),wishlist,,,,0,,,0,,,,,
25451264,"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377101""","=""9780765377104""",0,4.47,TOR,Hardcover,604,2016,2010,,2017/04/08,currently-reading,currently-reading (#1),currently-reading,,,,0,,,0,,,,,
23168817,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,"Cixin, Liu",Joel Martinsen,"=""076537708X""","=""9780765377081""",0,4.38,Tor Books,Hardcover,512,2015,2008,2017/04/08,2017/03/27,,,read,,,,1,,,0,,,,,
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377063""","=""9780765377067""",0,4.00,Tor Books,Hardcover,400,2014,2007,2017/03/27,2017/03/08,,,read,,,,1,,,0,,,,,
28439513,A Night Without Stars (Commonwealth),Peter F. Hamilton,"Hamilton, Peter F.",,"=""0345547225""","=""9780345547224""",0,4.42,Del Rey,Hardcover,704,2016,2016,2017/03/08,2017/02/03,,,read,,,,1,,,0,,,,,
60929,"Dawn (Xenogenesis, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446603775""","=""9780446603775""",0,4.10,Warner Books,Paperback,248,1997,1987,,2017/01/23,to-read,to-read (#11),to-read,,,,,,,0,,,,,
222093,City,Clifford D. Simak,"Simak, Clifford D.",,"=""188296828X""","=""9781882968282""",0,4.11,Old Earth Books,Hardcover,251,2008,1952,,2017/01/23,to-read,to-read (#10),to-read,,,,,,,0,,,,,
830,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""0553380958""","=""9780553380958""",0,4.02,Bantam Books,Paperback,470,2000,1992,2017/01/06,2016/12/06,,,read,,,,,,,0,,,,,
49789,Building Harlequin's Moon,Larry Niven,"Niven, Larry",Brenda Cooper,"=""0765351293""","=""9780765351296""",0,3.71,Tor Science Fiction,Paperback,501,2006,2005,2016/11/04,2016/10/14,,,read,,,,,,,0,,,,,
20739796,The Stone Man,Luke Smitherd,"Smitherd, Luke",,"=""""","=""""",0,3.63,,Kindle Edition,298,2014,2012,2016/10/12,2016/09/22,,,read,,,,,,,0,,,,,
464609,"Anvil of Stars (Forge of God, #2)",Greg Bear,"Bear, Greg",,"=""0446364037""","=""9780446364034""",0,3.90,Warner Books,Paperback,471,1993,1992,2016/09/21,2016/08/26,,,read,,,,,,,0,,,,,
64732,"The Forge of God (Forge of God, #1)",Greg Bear,"Bear, Greg",,"=""0765301075""","=""9780765301079""",0,3.86,Tor Books,Paperback,474,2001,1987,2016/08/26,2016/08/11,,,read,,,,,,,0,,,,,
25898503,War Factory (Transformation #2),Neal Asher,"Asher, Neal",,"=""1597808342""","=""9781597808347""",0,4.24,Night Shade Books,Hardcover,454,2016,2016,2016/08/11,2016/07/12,,,read,,,,,,,0,,,,,
22859850,"Dark Intelligence (Transformation, #1)",Neal Asher,"Asher, Neal",,"=""1597808245""","=""9781597808248""",0,4.04,Night Shade Books,Hardcover,402,2015,2015,,2016/07/12,,,read,,,,,,,0,,,,,
28954329,Ephialtes,Gavin E. Parker,"Parker, Gavin E.",,"=""""","=""""",0,4.13,CreateSpace Independent Publishing Platform,Paperback,470,2016,2015,,2016/06/29,to-read,to-read (#9),to-read,,,,,,,0,,,,,
23595481,"Chaos Station (Chaos Station, #1)",Jenn Burke,"Burke, Jenn",Kelly   Jensen,"=""""","=""""",0,3.93,Carina Press,Kindle Edition,220,2015,2015,,2016/06/28,wishlist,wishlist (#13),wishlist,,,,,,,0,,,,,
12842868,"Tech-Heaven (The Nanotech Succession, #0)",Linda Nagata,"Nagata, Linda",,"=""1937197018""","=""9781937197018""",0,3.65,Mythic Island Press LLC,Paperback,388,2011,1995,,2016/06/28,wishlist,wishlist (#12),wishlist,,,,,,,0,,,,,
26118426,Ninefox Gambit (The Machineries of Empire #1),Yoon Ha Lee,"Lee, Yoon Ha",,"=""""","=""""",0,3.95,Solaris Books,Paperback,384,2016,2016,,2016/06/26,wishlist,wishlist (#11),wishlist,,,,,,,0,,,,,
16690,The Moon is a Harsh Mistress,Robert A. Heinlein,"Heinlein, Robert A.",,"=""0340837942""","=""9780340837948""",0,4.17,Hodder & Stoughton,Paperback,288,2005,1966,2016/06/07,2016/05/25,,,read,,,,,,,0,,,,,
15698479,"The Human Division (Old Man's War, #5)",John Scalzi,"Scalzi, John",,"=""0765333511""","=""9780765333513""",0,4.07,Tor Books,Hardcover,431,2013,2013,2016/05/25,2016/05/18,,,read,,,,,,,0,,,,,
2102600,"Zoe's Tale (Old Man's War, #4)",John Scalzi,"Scalzi, John",,"=""0765316986""","=""9780765316981""",0,3.73,Tor Books,Hardcover,335,2008,2008,2016/05/18,2016/05/01,,,read,,,,,,,0,,,,,
88071,The Last Colony (Old Man's War #3),John Scalzi,"Scalzi, John",,"=""0765316978""","=""9780765316974""",0,4.03,Tor Books,Hardcover,320,2007,2007,2016/05/02,2016/04/13,,,read,,,,,,,0,,,,,
239399,"The Ghost Brigades (Old Man's War, #2)",John Scalzi,"Scalzi, John",,"=""0765354063""","=""9780765354068""",0,4.09,Tor Science Fiction,Mass Market Paperback,347,2007,2006,2016/04/13,2016/04/06,,,read,,,,,,,0,,,,,
51964,"Old Man's War (Old Man's War, #1)",John Scalzi,"Scalzi, John",,"=""0765348276""","=""9780765348272""",0,4.23,Tor Books,Mass Market Paperback,351,2007,2005,2016/04/06,2016/03/28,,,read,,,,,,,0,,,,,
25659450,Arkwright,Allen Steele,"Steele, Allen",,"=""0765382156""","=""9780765382153""",0,3.66,Tor Books,Hardcover,336,2016,2016,2017/01/09,2016/02/29,,,read,,,,,,,0,,,,,
22738693,The Medusa Chronicles,Stephen Baxter,"Baxter, Stephen",Alastair Reynolds,"=""1473210186""","=""9781473210189""",0,3.79,Gollancz,Hardcover,326,2016,2016,,2016/01/27,to-read,to-read (#8),to-read,,,,,,,0,,,,,
23594693,A Meeting with Medusa,Arthur C. Clarke,"Clarke, Arthur C.",,"=""""","=""""",0,3.64,,,,1971,1971,,2016/01/27,to-read,to-read (#7),to-read,,,,,,,0,,,,,
8849505,Paranormality: Why We See What Isn't There,Richard Wiseman,"Wiseman, Richard",,"=""0230752985""","=""9780230752986""",0,4.01,Macmillan,Paperback,341,2011,2010,2016/03/09,2016/01/20,,,read,,,,,,,0,,,,,
1397301,The Sails Of Tau Ceti,Michael McCollum,"McCollum, Michael",,"=""192938114X""","=""9781929381142""",0,3.72,,,,,1992,2015/12/04,2015/11/22,,,read,,,,,,,0,,,,,
19127186,The Gift,Dave  Donovan,"Donovan, Dave",,"=""""","=""""",0,3.63,47North,Kindle Edition,356,2013,2013,2015/11/22,2015/11/12,,,read,,,,,,,0,,,,,
23164927,The Fold,Peter Clines,"Clines, Peter",,"=""0553418297""","=""9780553418293""",0,3.82,Crown,Hardcover,384,2015,2015,2015/11/12,2015/11/03,,,read,,,,,,,0,,,,,
23197269,Aurora,Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0316098108""","=""9780316098106""",0,3.73,Orbit,Hardcover,466,2015,2015,2015/11/03,2015/10/13,,,read,,,,,,,0,,,,,
893590,"Diamond Dogs, Turquoise Days",Alastair Reynolds,"Reynolds, Alastair",,"=""0575075163""","=""9780575075160""",0,3.95,Gollancz,Paperback,231,2003,2003,2015/10/13,2015/10/11,,,read,,,,,,,0,,,,,
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",0,4.39,Crown,Hardcover,369,2014,2014,2015/10/06,2015/09/24,,,read,,,,,,,0,,,,,
166997,Stoner,John  Williams,"Williams, John",John McGahern,"=""1590171993""","=""9781590171998""",0,4.27,NYRB Classics,Paperback,278,2006,1965,2016/01/14,2015/09/21,,,read,,,,,,,0,,,,,
237171,Birthright: The Book of Man  (Birthright #2),Mike Resnick,"Resnick, Mike",,"=""1570900442""","=""9781570900440""",0,3.98,Farthest Star,Paperback,287,1997,1982,,2015/08/11,,,read,,,,,,,0,,,,,
9359796,"Vortex (Spin, #3)",Robert Charles Wilson,"Wilson, Robert Charles",,"=""0765323427""","=""9780765323422""",0,3.71,Tor Books,Hardcover,331,2011,2011,,2015/08/11,,,read,,,,,,,0,,,,,
116410,"Axis (Spin, #2)",Robert Charles Wilson,"Wilson, Robert Charles",,"=""0765309394""","=""9780765309396""",0,3.48,Tor Books,Hardcover,304,2007,2007,2015/08/11,2015/05/28,,,read,,,,,,,0,,,,,
