Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
373399,"Beyond the Blue Event Horizon (Heechee Saga, #2)","Frederik Pohl","Pohl, Frederik","",="0345446674",="9780345446671",0,"3.92","Ballantine Books","Paperback","336",2000,1980,,2015/03/02,"currently-reading","currently-reading (#2)","currently-reading",,"",,,,,0,,,,,
218427,"Gateway (Heechee Saga, #1)","Frederik Pohl","Pohl, Frederik","",="0345475836",="9780345475831",0,"4.06","Del Rey","Paperback","288",2004,1976,2015/03/02,2015/02/22,"","","read","","","","","","",0,,,,,
150731,"Alan Turing: The Enigma","Andrew Hodges","Hodges, Andrew","Douglas R. Hofstadter",="0802775802",="9780802775801",0,"3.89","Walker & Company","Paperback","608",2000,1983,,2015/02/11,"wishlist","wishlist (#16)","wishlist",,"",,,,,0,,,,,
77504,"Blue Mars (Mars Trilogy, #3)","Kim Stanley Robinson","Robinson, Kim Stanley","",="0553573357",="9780553573350",0,"3.89","Spectra Books","Paperback","784",1997,1996,,2015/01/28,"","","read",,"",,,,,0,,,,,
18520859,"Titans","Edward W. Robertson","Robertson, Edward W.","",="",="",0,"3.56","","Kindle Edition","284",2013,2011,,2015/01/21,"currently-reading","currently-reading (#1)","currently-reading",,"",,,,,0,,,,,
22566044,"Fluency","Jennifer Foehner Wells","Wells, Jennifer Foehner","",="",="",0,"3.85","Blue Bedlam Books","Kindle Edition","283",2014,2014,2015/01/28,2015/01/21,"","","read",,"",,,,,0,,,,,
20632979,"Ultima","Stephen Baxter","Baxter, Stephen","",="0575116870",="9780575116870",0,"3.65","Gollancz","Hardcover","560",2014,2014,,2015/01/05,"wishlist","wishlist (#15)","wishlist",,"",,,,,0,,,,,
21097454,"Poseidon's Wake (Poseidon's Children, #3)","Alastair Reynolds","Reynolds, Alastair","",="0575090499",="9780575090491",0,"4.00","Gollancz","Hardcover","488",2015,2015,,2015/01/05,"wishlist","wishlist (#14)","wishlist",,"",,,,,0,,,,,
17239381,"Jupiter War (Owner Trilogy, #3)","Neal Asher","Asher, Neal","",="1597804932",="9781597804936",0,"3.97","Night Shade Books","Paperback","356",2014,2013,2015/01/21,2014/12/22,"","","read",,"",,,,,0,,,,,
15775601,"Zero Point (Owner Trilogy, #2)","Neal Asher","Asher, Neal","",="0230750702",="9780230750708",0,"3.97","Tor","Hardcover","564",2012,2012,,2014/12/18,"","","read",,"",,,,,0,,,,,
23811731,"The Snow Queen","Hans Christian Andersen","Andersen, Hans Christian","Julia Whelan",="",="",0,"3.82","Audible Studios","Audible Audio","2",2014,1844,2014/12/21,2014/12/17,"","","read",,"",,,,,0,,,,,
472331,"Watchmen","Alan Moore","Moore, Alan","Dave Gibbons, John Higgins",="0930289234",="9780930289232",0,"4.32","DC Comics","Paperback","416",2005,1986,2014/12/22,2014/12/16,"","","read",,"",,,,,0,,,,,
393898,"The Logic Of Failure: Recognizing And Avoiding Error In Complex Situations","Dietrich Dorner","Dorner, Dietrich","Dietrich Dorner, Robert Kimber, Rita Kimber",="0201479486",="9780201479485",0,"3.94","Basic Books","Paperback","240",1997,1996,,2014/10/14,"wishlist","wishlist (#13)","wishlist",,"",,,,,0,,,,,
453966,"Far Futures","Gregory Benford","Benford, Gregory","",="0312863799",="9780312863791",0,"3.84","Tor Books","Paperback","352",1997,1995,2014/11/05,2014/10/07,"","","read",,"",,,,,0,,,,,
20706230,"War Dogs","Greg Bear","Bear, Greg","",="0316072834",="9780316072830",0,"3.09","Orbit","Hardcover","304",2014,2014,,2014/09/30,"wishlist","wishlist (#12)","wishlist",,"",,,,,0,,,,,
20697413,"The Abyss Beyond Dreams: A Novel of the Commonwealth","Peter F. Hamilton","Hamilton, Peter F.","",="0345547195",="9780345547194",0,"4.20","Del Rey","Hardcover","640",2014,2014,,2014/09/30,"wishlist","wishlist (#11)","wishlist",,"",,,,,0,,,,,
6462796,"Orbus (Spatterjay, #3)","Neal Asher","Asher, Neal","",="0230708722",="9780230708723",0,"4.10","Tor Books","Hardcover","352",2009,2009,2014/10/08,2014/09/20,"","","read",,"",,,,,0,,,,,
10648878,"The Departure (Owner Trilogy, #1)","Neal Asher","Asher, Neal","",="0230708730",="9780230708730",0,"3.76","Tor","Hardcover","498",2011,2011,2014/12/18,2014/09/09,"","","read",,"",,,,,0,,,,,
378724,"Crossover (Cassandra Kresnov, #1)","Joel Shepherd","Shepherd, Joel","",="1591024439",="9781591024439",0,"3.82","Pyr","Paperback","459",2006,2001,,2014/09/09,"to-read","to-read (#8)","to-read",,"",,,,,0,,,,,
511229,"The Voyage of the Sable Keech (Spatterjay, #2)","Neal Asher","Asher, Neal","",="0330411608",="9780330411608",0,"4.00","Trans-Atlantic Publications, Inc.","Paperback","584",2006,2006,2014/09/20,2014/09/04,"","","read",,"",,,,,0,,,,,
21975672,"The World at the End of Time","Frederik Pohl","Pohl, Frederik","William Dufris",="",="",0,"4.00","Audible Studios","Audible Audio","",2014,1990,2014/07/18,2014/06/20,"","","read",,"",,,,,0,,,,,
18339206,"Marauder (The Shoal Sequence, #4)","Gary Gibson","Gibson, Gary","",="0230748902",="9780230748903",0,"3.84","Tor","Hardcover","384",2013,2013,2014/08/10,2014/06/14,"","","read",,"",,,,,0,,,,,
89195,"The Prefect","Alastair Reynolds","Reynolds, Alastair","",="0575077164",="9780575077164",0,"4.12","Gollancz","Hardcover","410",2007,2007,2014/06/14,2014/05/13,"","","read",,"",,,,,0,,,,,
357697,"Angel Stations","Gary Gibson","Gibson, Gary","",="0330420178",="9780330420174",0,"3.38","Tor Books","Paperback","551",2005,2004,2014/12/26,2014/03/19,"","","read",,"",,,,,0,,,,,
185827,"Newton's Wake: A Space Opera","Ken MacLeod","MacLeod, Ken","",="076534422X",="9780765344229",0,"3.57","Tor Science Fiction","Paperback","352",2005,2004,,2014/03/08,"to-read","to-read (#7)","to-read",,"",,,,,0,,,,,
240297,"The Skinner (Spatterjay, #1)","Neal Asher","Asher, Neal","",="0765350483",="9780765350480",0,"4.11","Tor Science Fiction","Paperback","432",2005,2002,2014/09/04,2014/01/31,"","","read",,"",,,,,0,,,,,
167845,"The Peace War (Across Realtime, #1)","Vernor Vinge","Vinge, Vernor","",="0765308835",="9780765308832",0,"3.94","Tor Books","Paperback","304",2003,1984,,2014/01/31,"to-read","to-read (#6)","to-read",,"",,,,,0,,,,,
98046,"Gridlinked (Agent Cormac, #1)","Neal Asher","Asher, Neal","",="0765349051",="9780765349057",0,"3.93","Tor Science Fiction","Paperback","423",2004,2001,,2014/01/31,"to-read","to-read (#5)","to-read",,"",,,,,0,,,,,
910863,"Spin (Spin, #1)","Robert Charles Wilson","Wilson, Robert Charles","",="076534825X",="9780765348258",0,"3.99","Tor Science Fiction","Mass Market Paperback","458",2006,2005,,2014/01/09,"wishlist","wishlist (#10)","wishlist",,"",,,,,0,,,,,
14762236,"The Thousand Emperors","Gary Gibson","Gibson, Gary","",="0230748783",="9780230748781",0,"3.88","Tor","Hardcover","384",2012,2012,2014/05/05,2014/01/08,"","","read",,"",,,,,0,,,,,
16114166,"Dr. Zukaroffs Testamente","Peter Lund Madsen","Madsen, Peter Lund","",="870206393X",="9788702063936",0,"3.94","Gyldendal","Hardcover","549",2012,2012,2014/06/14,2014/01/08,"","","read",,"",,,,,0,,,,,
11302083,"Final Days","Gary Gibson","Gibson, Gary","",="0230748775",="9780230748774",0,"3.61","Tor Books","Hardcover","372",2011,2011,2014/03/19,2013/12/25,"","","read",,"",,,,,0,,,,,
13538762,"The Rapture of the Nerds: A tale of the singularity, posthumanity, and awkward social situations","Cory Doctorow","Doctorow, Cory","Charles Stross",="0765329107",="9780765329103",0,"3.37","Tor Books","Hardcover","351",2012,2012,,2013/12/25,"wishlist","wishlist (#9)","wishlist",,"",,,,,0,,,,,
18040879,"Det gennemsnitlige menneske","Morten Albæk","Albæk, Morten","Stig Matthiesen",="",="9788702129434",0,"3.47","Gyldendal Business","Paperback","",2013,2013,,2013/12/25,"to-read","to-read (#4)","to-read",,"",,,,,0,,,,,
18782847,"Måske kan jeg blive diktator","Mikal Hem","Hem, Mikal","",="",="9788771292336",0,"3.89","Klim",,"167",2013,2012,,2013/12/25,"to-read","to-read (#3)","to-read",,"",,,,,0,,,,,
2428489,"God Is Not Great","Christopher Hitchens","Hitchens, Christopher","",="1843545748",="9781843545743",0,"3.93","Twelve Books","Paperback","307",2007,2007,2015/02/24,2013/12/25,"","","read","","","","","","",0,,,,,
7234921,"Earth Strike (Star Carrier, #1)","Ian Douglas","Douglas, Ian","",="0061840254",="9780061840258",0,"3.73","Harper Voyager","Paperback","368",2010,2010,,2013/12/17,"wishlist","wishlist (#8)","wishlist",,"",,,,,0,,,,,
